5us,100,2521440,400,8000000,SIMPLE,ns3::TcpBbr,16Mbps
5us,100,5818560,800,15640000,SIMPLE,ns3::TcpBbr,16Mbps
5us,100,121920,1000,19440000,SIMPLE,ns3::TcpBbr,16Mbps
5us,100,147320,1200,23280000,SIMPLE,ns3::TcpBbr,16Mbps
5us,100,185420,1500,29000000,SIMPLE,ns3::TcpBbr,16Mbps
5us,100,218240,1800,34720000,SIMPLE,ns3::TcpBbr,16Mbps
5us,100,241080,2000,38520000,SIMPLE,ns3::TcpBbr,16Mbps
5us,100,265680,2200,42360000,SIMPLE,ns3::TcpBbr,16Mbps
5us,100,302580,2500,48080000,SIMPLE,ns3::TcpBbr,16Mbps
5us,100,3392040,2800,53800000,SIMPLE,ns3::TcpBbr,16Mbps
5us,100,3919040,3000,57600000,SIMPLE,ns3::TcpBbr,16Mbps
5us,100,4303200,3300,63320000,SIMPLE,ns3::TcpBbr,16Mbps
5us,100,7300600,3500,67120000,SIMPLE,ns3::TcpBbr,16Mbps
5us,100,4940640,3800,72840000,SIMPLE,ns3::TcpBbr,16Mbps
5us,100,7496280,4000,76680000,SIMPLE,ns3::TcpBbr,16Mbps
5us,100,4460,4500,86200000,SIMPLE,ns3::TcpBbr,16Mbps
5us,100,4960,5000,95760000,SIMPLE,ns3::TcpBbr,16Mbps
5us,100,5460,5500,105280000,SIMPLE,ns3::TcpBbr,16Mbps
5us,100,5960,6000,114840000,SIMPLE,ns3::TcpBbr,16Mbps
5us,100,6960,7000,133880000,SIMPLE,ns3::TcpBbr,16Mbps
5us,100,7960,8000,152960000,SIMPLE,ns3::TcpBbr,16Mbps
5us,100,8960,9000,172040000,SIMPLE,ns3::TcpBbr,16Mbps
5us,100,73080,400,1320000,SIMPLE,ns3::TcpBbr,128Mbps
5us,100,4670960,800,2280000,SIMPLE,ns3::TcpBbr,128Mbps
5us,100,8640,1000,2760000,SIMPLE,ns3::TcpBbr,128Mbps
5us,100,643800,1200,3240000,SIMPLE,ns3::TcpBbr,128Mbps
5us,100,13140,1500,3960000,SIMPLE,ns3::TcpBbr,128Mbps
5us,100,14080,1800,4680000,SIMPLE,ns3::TcpBbr,128Mbps
5us,100,19600,2000,5160000,SIMPLE,ns3::TcpBbr,128Mbps
5us,100,25920,2200,5640000,SIMPLE,ns3::TcpBbr,128Mbps
5us,100,36900,2500,6360000,SIMPLE,ns3::TcpBbr,128Mbps
5us,100,22080,2800,7040000,SIMPLE,ns3::TcpBbr,128Mbps
5us,100,23680,3000,7520000,SIMPLE,ns3::TcpBbr,128Mbps
5us,100,26080,3300,8240000,SIMPLE,ns3::TcpBbr,128Mbps
5us,100,27680,3500,8720000,SIMPLE,ns3::TcpBbr,128Mbps
5us,100,30080,3800,9440000,SIMPLE,ns3::TcpBbr,128Mbps
5us,100,31680,4000,9920000,SIMPLE,ns3::TcpBbr,128Mbps
5us,100,4460,4500,11120000,SIMPLE,ns3::TcpBbr,128Mbps
5us,100,4960,5000,12320000,SIMPLE,ns3::TcpBbr,128Mbps
5us,100,5460,5500,13480000,SIMPLE,ns3::TcpBbr,128Mbps
5us,100,5960,6000,14680000,SIMPLE,ns3::TcpBbr,128Mbps
5us,100,6960,7000,17080000,SIMPLE,ns3::TcpBbr,128Mbps
5us,100,7960,8000,19440000,SIMPLE,ns3::TcpBbr,128Mbps
5us,100,8960,9000,21840000,SIMPLE,ns3::TcpBbr,128Mbps
5us,100,65880,400,480000,SIMPLE,ns3::TcpBbr,1Gbps
5us,100,20520,800,600000,SIMPLE,ns3::TcpBbr,1Gbps
5us,100,8640,1000,680000,SIMPLE,ns3::TcpBbr,1Gbps
5us,100,9280,1200,720000,SIMPLE,ns3::TcpBbr,1Gbps
5us,100,13140,1500,840000,SIMPLE,ns3::TcpBbr,1Gbps
5us,100,7040,1800,920000,SIMPLE,ns3::TcpBbr,1Gbps
5us,100,7840,2000,960000,SIMPLE,ns3::TcpBbr,1Gbps
5us,100,8640,2200,1040000,SIMPLE,ns3::TcpBbr,1Gbps
5us,100,12300,2500,1120000,SIMPLE,ns3::TcpBbr,1Gbps
5us,100,8280,2800,1200000,SIMPLE,ns3::TcpBbr,1Gbps
5us,100,8880,3000,1280000,SIMPLE,ns3::TcpBbr,1Gbps
5us,100,9780,3300,1360000,SIMPLE,ns3::TcpBbr,1Gbps
5us,100,10380,3500,1440000,SIMPLE,ns3::TcpBbr,1Gbps
5us,100,11280,3800,1520000,SIMPLE,ns3::TcpBbr,1Gbps
5us,100,11880,4000,1560000,SIMPLE,ns3::TcpBbr,1Gbps
5us,100,4460,4500,1720000,SIMPLE,ns3::TcpBbr,1Gbps
5us,100,4960,5000,1880000,SIMPLE,ns3::TcpBbr,1Gbps
5us,100,5460,5500,2000000,SIMPLE,ns3::TcpBbr,1Gbps
5us,100,5960,6000,2160000,SIMPLE,ns3::TcpBbr,1Gbps
5us,100,6960,7000,2480000,SIMPLE,ns3::TcpBbr,1Gbps
5us,100,7960,8000,2760000,SIMPLE,ns3::TcpBbr,1Gbps
5us,100,8960,9000,3080000,SIMPLE,ns3::TcpBbr,1Gbps
2ms,100,423000,400,167600000,SIMPLE,ns3::TcpBbr,16Mbps
2ms,100,4015080,800,175240000,SIMPLE,ns3::TcpBbr,16Mbps
2ms,100,10030080,1000,179040000,SIMPLE,ns3::TcpBbr,16Mbps
2ms,100,1691280,1200,182880000,SIMPLE,ns3::TcpBbr,16Mbps
2ms,100,906660,1500,188600000,SIMPLE,ns3::TcpBbr,16Mbps
2ms,100,1686080,1800,194320000,SIMPLE,ns3::TcpBbr,16Mbps
2ms,100,4890200,2000,198120000,SIMPLE,ns3::TcpBbr,16Mbps
2ms,100,5484240,2200,201960000,SIMPLE,ns3::TcpBbr,16Mbps
2ms,100,1512900,2500,207680000,SIMPLE,ns3::TcpBbr,16Mbps
2ms,100,7504440,2800,213400000,SIMPLE,ns3::TcpBbr,16Mbps
2ms,100,7983120,3000,217200000,SIMPLE,ns3::TcpBbr,16Mbps
2ms,100,9180160,3300,222920000,SIMPLE,ns3::TcpBbr,16Mbps
2ms,100,4996240,3500,226720000,SIMPLE,ns3::TcpBbr,16Mbps
2ms,100,462480,3800,232440000,SIMPLE,ns3::TcpBbr,16Mbps
2ms,100,11293920,4000,236280000,SIMPLE,ns3::TcpBbr,16Mbps
2ms,100,4460,4500,245800000,SIMPLE,ns3::TcpBbr,16Mbps
2ms,100,4960,5000,255360000,SIMPLE,ns3::TcpBbr,16Mbps
2ms,100,5460,5500,264880000,SIMPLE,ns3::TcpBbr,16Mbps
2ms,100,5960,6000,274440000,SIMPLE,ns3::TcpBbr,16Mbps
2ms,100,6960,7000,293480000,SIMPLE,ns3::TcpBbr,16Mbps
2ms,100,7960,8000,312560000,SIMPLE,ns3::TcpBbr,16Mbps
2ms,100,8960,9000,331640000,SIMPLE,ns3::TcpBbr,16Mbps
2ms,100,849960,400,160920000,SIMPLE,ns3::TcpBbr,128Mbps
2ms,100,1793600,800,161880000,SIMPLE,ns3::TcpBbr,128Mbps
2ms,100,4389120,1000,162360000,SIMPLE,ns3::TcpBbr,128Mbps
2ms,100,64817320,1200,162840000,SIMPLE,ns3::TcpBbr,128Mbps
2ms,100,38727960,1500,163560000,SIMPLE,ns3::TcpBbr,128Mbps
2ms,100,4213440,1800,164280000,SIMPLE,ns3::TcpBbr,128Mbps
2ms,100,4574640,2000,164760000,SIMPLE,ns3::TcpBbr,128Mbps
2ms,100,2624400,2200,165240000,SIMPLE,ns3::TcpBbr,128Mbps
2ms,100,2587920,2500,165960000,SIMPLE,ns3::TcpBbr,128Mbps
2ms,100,6135480,2800,166640000,SIMPLE,ns3::TcpBbr,128Mbps
2ms,100,7305280,3000,167120000,SIMPLE,ns3::TcpBbr,128Mbps
2ms,100,7879420,3300,167840000,SIMPLE,ns3::TcpBbr,128Mbps
2ms,100,8622320,3500,168320000,SIMPLE,ns3::TcpBbr,128Mbps
2ms,100,9234560,3800,169040000,SIMPLE,ns3::TcpBbr,128Mbps
2ms,100,10149480,4000,169520000,SIMPLE,ns3::TcpBbr,128Mbps
2ms,100,4460,4500,170720000,SIMPLE,ns3::TcpBbr,128Mbps
2ms,100,4960,5000,171920000,SIMPLE,ns3::TcpBbr,128Mbps
2ms,100,5460,5500,173080000,SIMPLE,ns3::TcpBbr,128Mbps
2ms,100,5960,6000,174280000,SIMPLE,ns3::TcpBbr,128Mbps
2ms,100,6960,7000,176680000,SIMPLE,ns3::TcpBbr,128Mbps
2ms,100,7960,8000,179040000,SIMPLE,ns3::TcpBbr,128Mbps
2ms,100,8960,9000,181440000,SIMPLE,ns3::TcpBbr,128Mbps
2ms,100,475920,400,160080000,SIMPLE,ns3::TcpBbr,1Gbps
2ms,100,2665320,800,160200000,SIMPLE,ns3::TcpBbr,1Gbps
2ms,100,9393600,1000,160280000,SIMPLE,ns3::TcpBbr,1Gbps
2ms,100,6447280,1200,160320000,SIMPLE,ns3::TcpBbr,1Gbps
2ms,100,2185620,1500,160440000,SIMPLE,ns3::TcpBbr,1Gbps
2ms,100,4132480,1800,160520000,SIMPLE,ns3::TcpBbr,1Gbps
2ms,100,4572680,2000,160560000,SIMPLE,ns3::TcpBbr,1Gbps
2ms,100,2818800,2200,160640000,SIMPLE,ns3::TcpBbr,1Gbps
2ms,100,3212760,2500,160720000,SIMPLE,ns3::TcpBbr,1Gbps
2ms,100,3604560,2800,160800000,SIMPLE,ns3::TcpBbr,1Gbps
2ms,100,7009280,3000,160880000,SIMPLE,ns3::TcpBbr,1Gbps
2ms,100,7853340,3300,160960000,SIMPLE,ns3::TcpBbr,1Gbps
2ms,100,8276320,3500,161040000,SIMPLE,ns3::TcpBbr,1Gbps
2ms,100,4910560,3800,161120000,SIMPLE,ns3::TcpBbr,1Gbps
2ms,100,9306000,4000,161160000,SIMPLE,ns3::TcpBbr,1Gbps
2ms,100,4460,4500,161320000,SIMPLE,ns3::TcpBbr,1Gbps
2ms,100,4960,5000,161480000,SIMPLE,ns3::TcpBbr,1Gbps
2ms,100,5460,5500,161600000,SIMPLE,ns3::TcpBbr,1Gbps
2ms,100,5960,6000,161760000,SIMPLE,ns3::TcpBbr,1Gbps
2ms,100,6960,7000,162080000,SIMPLE,ns3::TcpBbr,1Gbps
2ms,100,7960,8000,162360000,SIMPLE,ns3::TcpBbr,1Gbps
2ms,100,8960,9000,162680000,SIMPLE,ns3::TcpBbr,1Gbps
